ID,Salary,Pr/St,Cntry,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Position,Team,GP,G,A,PTS,+/-,PIM
1,1700000,,SWE,71,186,2010,2,51,R,C,NSH,81,15,16,31,-1,25
2,6000000,ON,CAN,73,200,2010,1,2,R,C/RW,DAL,82,26,46,72,-15,22
3,5500000,MN,USA,72,215,2010,2,37,R,D,CAR,75,17,20,37,-18,32
4,925000,ON,CAN,74,232,2014,1,10,L,LW,ANA,77,14,14,28,4,62
5,700000,,DEU,75,215,2006,4,111,R,D,ANA,32,2,5,7,0,23
6,575000,,CZE,75,210,,,,L,LW/C,DET,11,1,0,1,-1,2
7,2000000,UT,USA,73,201,2006,1,17,R,C/RW/LW,L.A,82,12,12,24,-6,30
8,680000,MN,USA,77,210,2011,4,101,L,C,VAN,13,0,0,0,-2,21
9,640000,ON,CAN,73,184,,,,R,RW,MIN,11,0,0,0,-1,0
10,667500,MA,USA,68,175,,,,L,LW,PIT,61,23,30,53,24,22
11,600000,QC,CAN,74,204,2010,3,89,L,C,VAN,68,4,5,9,-12,29
12,575000,ON,CAN,74,203,,,,L,D,VAN,1,0,0,0,-1,0
13,2750000,,SVK,70,185,2009,2,60,L,LW/C/RW,DET,82,25,21,46,-8,26
14,4500000,NY,USA,70,185,2009,1,26,R,RW/C/LW,N.J,80,26,27,53,2,46
15,2000000,AB,CAN,72,195,,,,L,C/LW,ANA,27,2,1,3,-3,20
16,600000,WA,USA,71,170,,,,R,C,CAR,67,11,18,29,-8,22
17,2600000,MA,USA,77,215,2010,1,24,L,C/RW,NYR,76,17,32,49,10,18
18,925000,QC,CAN,74,192,2012,1,23,L,D,FLA,81,7,10,17,-5,36
19,800000,,RUS,75,200,,,,L,C/RW,N.J,43,2,2,4,-14,15
20,3250000,NY,USA,67,178,1998,3,82,R,RW,BUF,82,15,20,35,-11,22
21,925000,ON,CAN,74,205,2013,1,29,L,C,DAL,10,2,0,2,-3,0
22,650000,SK,CAN,74,191,2014,4,101,R,D,WPG,10,0,0,0,-1,5
23,620000,MI,USA,71,192,2010,3,80,R,RW,PIT,57,15,13,28,4,8
24,6000000,WI,USA,71,190,2003,7,205,R,C/RW,S.J,81,29,39,68,11,34
25,800000,ON,CAN,71,185,2005,4,107,L,LW/C,OTT,82,9,14,23,9,16
26,575000,QC,CAN,70,195,2010,4,115,R,LW,MIN,87,14,15,29,-14,33
27,832500,,RUS,77,230,2013,1,16,L,D,COL,56,0,10,10,-20,73
28,4500000,,RUS,73,204,2009,1,14,L,D,BUF,47,2,3,5,-26,26
29,2250000,SK,CAN,73,203,2000,2,33,L,D,PHI,28,0,4,4,1,10
30,742500,NY,USA,75,219,2012,2,59,L,C/LW,NYR,1,0,0,0,-1,0
31,6750000,ON,CAN,72,198,,,,L,D,CGY,81,12,27,39,22,59
32,10000000,,CZE,74,214,2007,1,7,L,RW,PHI,82,20,41,61,-24,56
33,5000000,MN,USA,73,200,2000,2,62,L,D,S.J,81,4,22,26,10,20
34,5000000,IN,USA,73,226,2005,1,3,L,D,CBJ,82,5,18,23,23,32
35,575000,ON,CAN,73,210,2008,2,50,L,D,PIT,12,1,3,4,1,13
36,925000,FL,USA,78,225,2012,7,210,L,D,ANA,1,0,0,0,1,0
37,625000,ON,CAN,69,191,2012,5,131,R,C/RW,FLA/TOR,24,0,5,5,6,8
38,775000,ON,CAN,72,191,2005,2,36,L,D,WSH,18,1,4,5,8,11
39,632500,NY,USA,74,205,,,,L,LW/C,VAN,1,0,0,0,-1,0
40,3000000,ON,CAN,73,205,2006,2,36,L,LW/RW,ARI,72,9,8,17,-23,23
41,575000,ON,CAN,70,203,,,,L,LW,NSH,1,0,0,0,-1,0
42,9000000,WI,USA,72,202,2006,1,5,R,RW/C,PIT,82,23,47,70,3,20
43,925000,,SWE,76,191,2015,1,29,L,D,CBJ,2,0,1,1,-2,0
44,2750000,ON,CAN,73,206,2003,2,37,R,D,NYR,60,3,11,14,5,31
45,2350000,SK,CAN,72,183,2012,1,7,R,D,MIN,76,11,23,34,15,59
46,900000,,SWE,75,215,2010,2,41,L,D,DAL,40,0,3,3,-4,14
47,575000,,SWE,75,205,,,,L,C,CHI,68,4,4,8,-4,12
48,925000,,DNK,72,172,2014,1,9,L,LW,WPG,82,25,39,64,1,38
49,925000,,RUS,75,215,2016,1,9,L,D,MTL,4,0,0,0,1,0
50,3000000,,SWE,75,215,2011,1,4,R,D,EDM,79,4,15,19,21,55
51,925000,,AUT,71,212,2013,1,27,L,C/LW/RW,WPG,38,4,7,11,0,10
52,3400000,,RUS,74,192,2010,1,26,L,C/LW,WSH,82,19,40,59,18,46
53,1050000,ON,CAN,76,221,2007,3,78,R,D,STL,38,1,3,4,11,15
54,1200000,MI,USA,71,200,2004,7,224,L,D,TOR,72,1,18,19,8,18
55,1000000,,RUS,74,196,2011,2,41,L,RW/LW,STL,51,1,10,11,5,18
56,1200000,,SVK,76,210,2010,2,46,L,D,TOR,25,1,6,7,3,16
57,2075000,ON,CAN,75,226,2010,1,21,L,C,DET,80,2,11,13,-29,14
58,700000,,SWE,75,203,2009,1,10,L,LW,STL,32,8,5,13,9,6
59,600000,ON,CAN,74,199,2008,2,45,R,C,MIN,9,1,2,3,0,9
60,600000,NH,USA,74,219,,,,L,C,BOS,59,7,7,14,-6,23
61,650000,AB,CAN,74,217,,,,L,RW/LW,COL,65,12,6,18,-19,56
62,7000000,,SWE,73,190,1999,1,2,L,LW,VAN,82,15,29,44,-16,32
63,4500000,MN,USA,72,199,2009,1,16,L,D,NYI,81,11,35,46,-3,12
64,2000000,MA,USA,78,244,2003,1,26,L,C/LW,T.B/TOR,75,13,12,25,3,66
65,900000,,SWE,73,184,2015,2,45,R,C,BOS,1,0,0,0,0,0
66,667500,MI,USA,76,212,2010,5,148,L,D,L.A,49,1,6,7,3,6
67,4500000,AB,CAN,69,182,2010,5,147,R,RW,MTL,64,10,19,29,7,39
68,7450000,ON,CAN,73,195,2008,1,2,R,D,L.A,82,12,32,44,8,46
69,3000000,ON,CAN,73,195,2002,2,57,L,C,CGY,81,6,17,23,3,40
70,1100000,ON,CAN,70,180,2011,4,96,R,C,OTT,82,12,21,33,13,24
71,925000,MN,USA,73,191,2015,1,23,R,RW,VAN,9,4,1,5,0,0
72,4250000,,RUS,73,225,2006,2,44,L,LW/RW,NYI,72,12,11,23,3,18
73,925000,AB,CAN,72,190,2014,1,8,R,C/RW,TOR,81,22,39,61,-3,32
74,650000,MN,USA,74,201,,,,R,D,MIN,39,2,5,7,0,12
75,600000,SK,CAN,75,220,2004,9,279,R,RW/C,DAL,69,10,6,16,9,12
76,625000,BC,CAN,74,207,2011,2,57,L,D,CGY,4,0,0,0,-2,0
77,660000,MB,CAN,76,213,2014,3,73,R,D,MTL,2,0,0,0,-1,0
78,3575000,,SWE,73,199,2007,1,24,L,C,CGY,81,22,31,53,9,36
79,600000,ON,CAN,72,186,,,,L,C,ANA/FLA,38,2,7,9,-5,9
80,925000,ON,CAN,70,175,2015,1,24,R,C/LW,PHI,70,11,17,28,-2,49
81,9000000,WI,USA,74,206,2003,1,7,L,D,MIN,82,9,31,40,34,36
82,3500000,ON,CAN,75,220,2008,5,148,L,LW/RW,TOR,82,5,4,9,0,123
83,792500,,DEU,69,180,2012,5,138,R,C/LW,S.J,3,1,0,1,-2,0
84,925000,MI,USA,73,206,2013,4,104,L,C,WPG,64,9,8,17,8,18
85,5000000,ON,CAN,75,207,2011,1,7,R,C,WPG,79,32,50,82,18,38
86,667500,,CZE,71,176,2015,5,137,L,C,PIT,2,0,1,1,-1,0
87,8000000,MN,USA,72,218,2006,1,7,R,RW,BUF,65,19,26,45,-7,24
88,792500,NY,USA,75,200,2013,3,66,R,D,CAR,82,2,18,20,23,20
89,925000,ON,CAN,76,220,2015,1,11,L,LW,ARI,72,5,7,12,-20,48
90,4500000,ON,CAN,72,195,2008,3,82,L,C,N.J,82,20,20,40,-20,38
91,600000,IL,USA,68,165,2011,3,66,R,C/RW,CBJ,3,0,0,0,-1,0
92,650000,AB,CAN,72,195,2011,2,32,R,RW,CAR/STL,9,0,2,2,-2,0
93,9000000,MN,USA,71,196,2003,1,17,L,LW,MIN,69,19,23,42,-3,30
94,4750000,,SWE,71,189,2005,7,230,R,RW,PIT,70,21,23,44,16,28
95,1100000,ON,CAN,73,216,2008,5,139,L,D,OTT,70,1,2,3,-3,154
96,832500,AB,CAN,70,181,2013,1,24,L,C/LW,CGY,7,0,1,1,-3,2
97,725000,QC,CAN,75,204,2015,2,39,L,LW,COL,5,0,1,1,-2,4
98,7000000,,CZE,71,196,2001,3,71,L,C,MTL,78,10,18,28,10,24
99,575000,MI,USA,74,208,2008,7,184,R,D,MTL,16,0,5,5,6,2
